Date,Portfolio,Benchmark
Apr-2004,-1.06,-1.90
May-2004,0.18,-0.69
Jun-2004,0.69,0.17
Jul-2004,3.94,0.41
Aug-2004,5.27,7.07
Sep-2004,8.38,6.11
Oct-2004,6.95,4.43,
Nov-2004,11.93,8.42,
Dec-2004,6.23,3.64,
Jan-2005,-0.55,0.35,
Feb-2005,3.51,3.35,
Mar-2005,-4.57,-2.02,
Apr-2005,-2.39,-2.78,
May-2005,6.40,6.84,
Jun-2005,2.41,2.04,
Jul-2005,10.11,8.33,
Aug-2005,2.63,1.50,
Sep-2005,7.28,7.08,
Oct-2005,-2.78,-2.54,
Nov-2005,2.54,3.22,
Dec-2005,8.47,6.86,
Jan-2006,9.98,8.48,
Feb-2006,0.27,1.79,
Mar-2006,6.08,5.09,
Apr-2006,3.23,1.98,
May-2006,-4.45,-4.08,
Jun-2006,0.47,-1.91,
Jul-2006,-0.89,-0.81,
Aug-2006,5.35,4.75,
Sep-2006,1.25,1.99,
Oct-2006,4.28,4.30,
Nov-2006,3.82,3.97,
Dec-2006,5.44,5.13,
Jan-2007,4.50,3.08,
Feb-2007,2.01,1.40,
Mar-2007,6.43,4.90,
Apr-2007,4.14,4.62,
May-2007,2.26,0.45,
Jun-2007,-0.72,-1.29,
Jul-2007,0.42,0.04,
Aug-2007,0.62,-0.91,
Sep-2007,3.42,3.54,
Oct-2007,7.13,5.12,
Nov-2007,-3.96,-3.50,
Dec-2007,-2.16,-2.50,
Jan-2008,-8.68,-7.02,
Feb-2008,8.94,8.49,
Mar-2008,-3.30,-1.62,
Apr-2008,3.69,1.96,
May-2008,0.96,2.27,
Jun-2008,-6.76,-5.54,
Jul-2008,-2.52,-4.73,
Aug-2008,3.20,2.39,
Sep-2008,-8.72,-10.10,
Oct-2008,-8.81,-10.21,
Nov-2008,-2.91,-1.00,
Dec-2008,1.69,2.61,
Jan-2009,-5.65,-3.95,
Feb-2009,-8.99,-8.92,
Mar-2009,10.90,7.26,
Apr-2009,4.95,3.17,
May-2009,6.70,7.61,
Jun-2009,2.05,-0.44,
Jul-2009,10.30,7.72,
Aug-2009,4.66,4.33,
Sep-2009,0.46,1.21,
Oct-2009,5.35,3.88,
Nov-2009,-0.19,-0.22,
Dec-2009,2.65,3.00,
Jan-2010,-0.02,-2.10,
Feb-2010,1.87,0.84,
Mar-2010,4.44,6.00,
Apr-2010,1.14,0.36,
May-2010,-2.53,-4.21,
Jun-2010,-1.87,-2.26,
Jul-2010,7.93,6.38,
Aug-2010,-2.58,-3.01,
Sep-2010,5.97,7.96,
Oct-2010,1.53,2.76,
Nov-2010,-0.58,0.40,
Dec-2010,5.75,4.68,
Jan-2011,-1.26,-2.17,
Feb-2011,1.44,1.57,
Mar-2011,1.74,0.97,
Apr-2011,1.68,1.91,
May-2011,0.49,-0.30,
Jun-2011,-2.48,-1.69,
Jul-2011,-0.90,-1.40,
Aug-2011,-0.28,-0.69,
Sep-2011,-1.85,-2.60,
Oct-2011,4.92,7.59,
Nov-2011,1.84,-0.16,
Dec-2011,-0.35,0.50,
Jan-2012,3.88,4.49,
Feb-2012,2.57,2.22,
Mar-2012,0.13,-0.35,
Apr-2012,1.38,1.92,
May-2012,-4.04,-3.04,
Jun-2012,1.13,0.90,
Jul-2012,0.03,2.25,
Aug-2012,1.99,1.73,
Sep-2012,1.78,1.51,
Oct-2012,1.97,3.55,
Nov-2012,-0.63,1.12,
Dec-2012,5.13,3.25,
Jan-2013,6.21,3.02,
Feb-2013,-1.20,-1.39,
Mar-2013,-0.22,1.39,
Apr-2013,-4.02,-2.32,
May-2013,8.11,5.89,
Jun-2013,-4.28,-4.37,
Jul-2013,5.61,3.80,
Aug-2013,4.76,2.50,
Sep-2013,4.22,4.66,
Oct-2013,2.36,3.76,
Nov-2013,-1.25,-1.34,
Dec-2013,2.67,2.76,
Jan-2014,1.42,-1.99,
Feb-2014,1.85,3.66,
Mar-2014,1.95,2.51,
Apr-2014,1.84,2.14,
May-2014,1.49,1.58,
Jun-2014,1.53,1.68,
Jul-2014,1.13,1.52,
Aug-2014,-0.37,-0.69,
Sep-2014,-3.85,-2.14,
Oct-2014,-1.70,0.65,
Nov-2014,1.09,1.30,
Dec-2014,1.73,-0.11,
Jan-2015,0.43,2.54,
Feb-2015,2.17,3.40,
Mar-2015,-2.12,-0.78,
Apr-2015,4.14,3.98,
May-2015,-0.82,-3.26,
Jun-2015,-2.61,-1.06,
Jul-2015,-2.32,-0.03,
Aug-2015,-1.35,-2.65,
Sep-2015,-4.66,-1.41,
Oct-2015,7.62,6.64,
Nov-2015,-4.67,-3.14,
Dec-2015,-1.87,-2.21,
Jan-2016,-2.61,-3.20,
Feb-2016,2.36,0.98,
Mar-2016,8.23,6.61,
Apr-2016,2.69,1.24,
May-2016,1.32,1.43,
Jun-2016,-1.60,-2.20,
Jul-2016,2.90,1.47,
Aug-2016,2.33,-0.02,
Sep-2016,-1.01,-0.81,
Oct-2016,-4.09,-3.05,
Nov-2016,0.28,-0.58,
Dec-2016,1.23,1.26,
Jan-2017,4.75,2.29,
Feb-2017,-0.17,-1.17,
Mar-2017,2.02,1.39,
Apr-2017,1.82,2.53,
May-2017,-2.35,-0.79,
Jun-2017,-0.34,-3.36,
Jul-2017,5.08,4.96,
Aug-2017,0.72,1.82,
Sep-2017,-0.60,-0.86,
Oct-2017,6.64,5.19,
Nov-2017,-1.37,1.35,
Dec-2017,-1.37,-1.03,
Jan-2018,1.08,0.23,
Feb-2018,-3.56,-1.29,
Mar-2018,-5.98,-3.74,
Apr-2018,3.76,3.62,
May-2018,-2.12,-3.65,
Jun-2018,2.72,1.35,
Jul-2018,0.38,0.55,
Aug-2018,2.23,2.62,
Sep-2018,-1.89,-3.80,
Oct-2018,-3.71,-4.50,
Nov-2018,1.31,-2.26,
Dec-2018,1.71,1.71,
Jan-2019,2.68,2.31,
Feb-2019,2.87,2.57,
Mar-2019,3.28,0.87,
Apr-2019,4.18,3.90,
May-2019,-5.49,-5.10,
Jun-2019,2.63,2.86,
Jul-2019,-0.67,-2.21,
Aug-2019,-0.75,-2.30,